"SiteID","Easting","Northing","Depth","Stratify","Transect","Clay","pH"
"h075",151.2928709,-32.82265163,0.09,2,6,34,5.72
"h075",151.2928709,-32.82265163,0.27,2,6,45,6.28
"h075",151.2928709,-32.82265163,0.5,2,6,49,5.7
"h075",151.2928709,-32.82265163,0.81,2,6,49,5.52
"h076",151.2925266,-32.82222304,0.05,2,6,24,5.72
"h076",151.2925266,-32.82222304,0.19,2,6,24,5.77
"h076",151.2925266,-32.82222304,0.34,2,6,15,5.85
"h076",151.2925266,-32.82222304,0.64,2,6,23,5.74
"h076",151.2925266,-32.82222304,0.94,2,6,49,4.94
"h077",151.2922776,-32.82072249,0.05,2,6,34,5.5
"h077",151.2922776,-32.82072249,0.33,2,6,34,5.8
"h077",151.2922776,-32.82072249,0.78,2,6,22,5.9
"h078",151.2958726,-32.82263842,0.05,2,6,21,5.25
"h078",151.2958726,-32.82263842,0.18,2,6,21,6
"h078",151.2958726,-32.82263842,0.4,2,6,49,6.09
"h078",151.2958726,-32.82263842,0.72,2,6,40,6.15
"h079",151.2956775,-32.82334826,0.09,2,6,45,5.91
"h079",151.2956775,-32.82334826,0.25,2,6,32,6.64
"h079",151.2956775,-32.82334826,0.44,2,6,57,6.5
"h079",151.2956775,-32.82334826,0.75,2,6,57,5.85
"h080",151.2960804,-32.82350707,0.05,2,6,34,5.8
"h080",151.2960804,-32.82350707,0.15,2,6,32,7
"h080",151.2960804,-32.82350707,0.29,2,6,57,6.84
"h080",151.2960804,-32.82350707,0.51,2,6,57,6.68
"h080",151.2960804,-32.82350707,0.7,2,6,49,6.55
"h081",151.2967209,-32.82352481,0.07,2,6,34,5.99
"h081",151.2967209,-32.82352481,0.21,2,6,34,6.7
"h081",151.2967209,-32.82352481,0.44,2,6,49,6.77
"h081",151.2967209,-32.82352481,0.77,2,6,49,6.44
"h081",151.2967209,-32.82352481,0.98,2,6,57,5.95
"h082",151.2980175,-32.82386713,0.1,2,6,40,6.23
"h082",151.2980175,-32.82386713,0.27,2,6,40,6.98
"h082",151.2980175,-32.82386713,0.45,2,6,49,6.42
"h082",151.2980175,-32.82386713,0.78,2,6,49,6.18
"h083",151.2972345,-32.82347769,0.06,2,6,10,6.53
"h083",151.2972345,-32.82347769,0.23,2,6,21,7.15
"h083",151.2972345,-32.82347769,0.5,2,6,57,7.11
"h083",151.2972345,-32.82347769,0.83,2,6,57,7.22
"h084",151.2985913,-32.82402826,0.04,2,6,40,5.77
"h084",151.2985913,-32.82402826,0.32,2,6,45,6.3
"h084",151.2985913,-32.82402826,0.67,2,6,49,6.83
"h084",151.2985913,-32.82402826,0.89,2,6,49,6.57
"h085",151.2966572,-32.82182837,0.09,2,6,23,6.32
"h085",151.2966572,-32.82182837,0.25,2,6,15,6.45
"h085",151.2966572,-32.82182837,0.46,2,6,49,6.75
"h085",151.2966572,-32.82182837,0.69,2,6,40,6.52
"h085",151.2966572,-32.82182837,0.88,2,6,45,5.45
"h086",151.2981086,-32.82133404,0.05,2,6,21,5.95
"h086",151.2981086,-32.82133404,0.17,2,6,45,5.75
"h086",151.2981086,-32.82133404,0.38,2,6,49,6.17
"h086",151.2981086,-32.82133404,0.58,2,6,49,5.6
"h086",151.2981086,-32.82133404,0.78,2,6,45,5.72
"h086",151.2981086,-32.82133404,0.95,2,6,45,NA
"h087",151.2988251,-32.82073049,0.05,2,6,21,6.6
"h087",151.2988251,-32.82073049,0.14,2,6,21,6.34
"h087",151.2988251,-32.82073049,0.28,2,6,49,6.59
"h087",151.2988251,-32.82073049,0.61,2,6,49,6.27
"h087",151.2988251,-32.82073049,0.93,2,6,45,5.78
"h088",151.3008575,-32.82169607,0.09,2,6,21,6.01
"h088",151.3008575,-32.82169607,0.26,2,6,45,6.24
"h088",151.3008575,-32.82169607,0.41,2,6,45,6.4
"h088",151.3008575,-32.82169607,0.55,2,6,45,6.66
"h088",151.3008575,-32.82169607,0.7,2,6,45,6.45
"h088",151.3008575,-32.82169607,0.88,2,6,NA,6.84
"h089",151.3030102,-32.8208324,0.13,2,6,21,5.88
"h089",151.3030102,-32.8208324,0.43,2,6,49,6.47
"h089",151.3030102,-32.8208324,0.71,2,6,49,6.46
"h089",151.3030102,-32.8208324,0.91,2,6,45,5.94
"h090",151.304056,-32.82088265,0.05,2,6,40,6.17
"h090",151.304056,-32.82088265,0.14,2,6,45,6.86
"h090",151.304056,-32.82088265,0.44,2,6,49,6.47
"h090",151.304056,-32.82088265,0.78,2,6,45,6.95
"h090",151.304056,-32.82088265,0.93,2,6,40,6.15
"h091",151.2999919,-32.81666976,0.08,2,6,45,6.2
"h091",151.2999919,-32.81666976,0.27,2,6,49,6.94
"h091",151.2999919,-32.81666976,0.5,2,6,45,6.69
"h091",151.2999919,-32.81666976,0.76,2,6,49,7.02
"h091",151.2999919,-32.81666976,0.96,2,6,49,7.19
"h092",151.3082836,-32.82156218,0.13,2,6,40,8.73
"h092",151.3082836,-32.82156218,0.33,2,6,23,9.31
"h092",151.3082836,-32.82156218,0.5,2,6,10,9.42
