"SiteID","Easting","Northing","Depth","Stratify","Transect","RockFrag","pH_H2O","EC","OC","P_Olsen","PBI","Exch_Ca","Exch_Mg","Exch_K","Exch_Na","Exch_Acid","Exch_Sum","ECEC","BaseSat","ESP","Ca_Mg","ECEC_Clay","Sand","Silt","Clay"
1020,775904,2283555,85,1,1020,0,9.08,0.241,0.14,NA,115,17.7,NA,NA,NA,NA,23.02,22.82,100,10.2,4.3,2.52,53.6,33.3,13.1
1021,775899,2283557,5,1,1020,10,8.16,0.164,0.67,NA,103,21.8,NA,NA,NA,NA,21.89,21.82,100,2.26,9.7,1.44,57.1,26.1,16.8
1021,775899,2283557,15,1,1020,0,8.29,0.176,0.59,NA,108,21.61,NA,NA,NA,NA,22.76,22.68,100,3.02,9.1,1.79,51.6,30.2,18.2
1021,775899,2283557,25,1,1020,0,8.33,0.174,0.34,NA,102,17.49,NA,NA,NA,NA,20.76,20.64,100,3.18,6.9,2.61,72.3,20.6,7.2
1021,775899,2283557,40,1,1020,0,8.46,0.154,0.14,NA,96,13.52,NA,NA,NA,NA,19.22,18.99,100,3.34,5,2.72,64.6,24.9,10.5
1021,775899,2283557,NA,1,1020,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1021,775899,2283557,NA,1,1020,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1022,775857,2283569,5,1,1020,80,7.25,0.084,0.83,NA,89,15.32,NA,NA,NA,NA,18.63,18.55,100,0.7,7.5,0.85,70.3,19.4,10.3
1022,775857,2283569,15,1,1020,80,8.04,NA,0.33,NA,75,17.6,NA,NA,NA,NA,23.75,23.55,NA,NA,5.1,0.79,67.4,22.8,9.9
1022,775857,2283569,25,1,1020,80,7.53,0.083,0.25,NA,77,17.11,NA,NA,NA,NA,25.16,24.84,100,0.95,5.2,0.96,73.1,15.9,11
1022,775857,2283569,40,1,1020,80,7.65,0.08,0.16,NA,87,12.43,NA,NA,NA,NA,20.21,20.21,100,1.08,3.9,0.94,70.3,15.4,14.2
1022,775857,2283569,60,1,1020,0,7.88,NA,NA,NA,71,14.06,NA,NA,NA,NA,20.1,19.64,NA,NA,4.2,0.92,70.1,18.1,11.9
1022,775857,2283569,NA,1,1020,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
